Dataset,Our_LR_AUC,Paper_LR_AUC,Difference
Illumina SNV,0.808698426089613,0.8092,-0.0005015739103870764
Illumina INDEL,0.9292302506588221,0.9293,-6.974934117787157e-05
Ion SNV,0.9764312432229727,0.9768,-0.0003687567770273015
Ion INDEL,0.924686857965725,0.9246,8.685796572505122e-05
