Dataset,Our_RF_AUC,Paper_RF_AUC,Difference
Illumina SNV,0.8981749091624368,0.7989,0.09927490916243675
Illumina INDEL,0.9319656071888214,0.9284,0.0035656071888213736
Ion SNV,0.9869429909789975,0.9749,0.012042990978997525
Ion INDEL,0.980639660105891,0.9383,0.042339660105890964
