criterion,ACC,TPR,FDR,TNR,PPV,NPV,MCC,threshold
TPR 0.99,0.9416042394625888,0.989963503649635,0.051305505858297795,0.39623238879214817,0.9486944941417021,0.7778123057799876,0.52969230876121,0.2727916037523106
TPR 0.95,0.91496576711322,0.9500561482313307,0.042944611773356525,0.5192338135190755,0.9570553882266435,0.47967241883591694,0.45271622002279505,0.5816010489342588
Maximum accuracy,0.9423005015665897,0.9921252105558674,0.05247141152655075,0.38040208959949345,0.9475285884734492,0.8107287449392713,0.5314805332646193,0.2237095142137994
Maximum f1 (0.969),0.9423005015665897,0.9929955081414935,0.05321412797623031,0.3705873041000475,0.9467858720237697,0.8242957746478873,0.5294827981764085,0.2012059254585338
