criterion,ACC,TPR,FDR,TNR,PPV,NPV,MCC,threshold
TPR 0.99,0.8531165311653116,0.9898329702251271,0.15864197530864196,0.45085470085470086,0.841358024691358,0.9377777777777778,0.5859654787144344,0.1499958597995975
TPR 0.95,0.8888888888888888,0.9498910675381264,0.09418282548476455,0.7094017094017094,0.9058171745152355,0.827930174563591,0.6955244980203232,0.471677007115366
Maximum accuracy,0.8932249322493225,0.9411764705882353,0.0821529745042493,0.7521367521367521,0.9178470254957507,0.812933025404157,0.7118001631023593,0.5291047981819402
Maximum f1 (0.931),0.8932249322493225,0.9673202614379085,0.10242587601078167,0.6752136752136753,0.8975741239892183,0.8753462603878116,0.7047180835568422,0.3936907167415056
