criterion,ACC,TPR,FDR,TNR,PPV,NPV,MCC,threshold
TPR 0.99,0.9309334449560486,0.9900717043574186,0.0756951596292482,0.7447916666666666,0.9243048403707518,0.959731543624161,0.806006176930701,0.2467764085662956
TPR 0.95,0.9192130598576811,0.9481522338665196,0.054455445544554455,0.828125,0.9455445544554455,0.8353765323992994,0.7785956981461158,0.6889338284370682
Maximum accuracy,0.9393051485977396,0.9856591285162714,0.06243441762854145,0.7934027777777778,0.9375655823714586,0.9461697722567288,0.8297496911937257,0.3667733804057466
Maximum f1 (0.961),0.9393051485977396,0.9862107004964148,0.06289308176100629,0.7916666666666666,0.9371069182389937,0.9480249480249481,0.8297734906114679,0.3586527703796673
