model,variant_type,total_30x,filtered_30x,filter_rate_30x,total_full,filtered_full,filter_rate_full,difference
Logistic Regression,SNV,24516,3016,12.302170011421113,77921,11785,15.124292552713644,2.822122541292531
Random Forest,SNV,24516,2250,9.177679882525698,77921,9022,11.5783935011101,2.400713618584401
GARFIELD,SNV,24516,3174,12.94664708761625,77921,11720,15.040874732100463,2.094227644484212
Logistic Regression,INDEL,1753,443,25.27096406160867,8306,2180,26.246087165904164,0.9751231042954949
Random Forest,INDEL,1753,518,29.54934398174558,8306,2587,31.146159402841317,1.5968154210957373
GARFIELD,INDEL,1753,432,24.64346833998859,8306,2227,26.811943173609436,2.168474833620845
