criterion,ACC,TPR,FDR,TNR,PPV,NPV,MCC,threshold
TPR 0.99,0.9850487049762139,0.9900622390697437,0.005300944391549369,0.6997084548104956,0.9946990556084506,0.5529953917050692,0.6146410163321357,0.2935149002185719
TPR 0.95,0.9484885096528984,0.9501831314192045,0.0027285312974636754,0.8520408163265306,0.9972714687025364,0.23107333465111682,0.4279996140110306,0.6312022342736052
Maximum accuracy,0.9899192025975987,0.9971825935507005,0.007406274299845756,0.576530612244898,0.9925937257001543,0.7823936696340257,0.6667986975304865,0.1346453850601366
Maximum f1 (0.995),0.9899192025975987,0.9971825935507005,0.007406274299845756,0.576530612244898,0.9925937257001543,0.7823936696340257,0.6667986975304865,0.1346453850601366
